site_code,site_name,land_use,annual_rainfall_mm,mean_annual_temperature_c,total_vegetation_cover,total_species_richness,native_species_richness,native_vegetation_cover,invasive_vegetation_cover,bioclim_pc1,soil_pc1
AJ_P,Sangola,Tree plantation,875,26.47083,36.05238095,10.14285714,8.952380952,33.06190476,2.99047619,-3.088822396,-1.090180973
AK_A,Askhed Chakan,Tillage agriculture,1028,24.67083,3.514285714,4.0,2.19047619,2.252380952,1.261904762,1.919726878,0.415929777
BB_X,Birobawadi ex ag,Fallow,588,25.16667,50.52857143,16.85714286,14.42857143,47.13809524,3.39047619,-1.386838738,1.534136702
BD_A,Beed,Tillage agriculture,1498,24.40833,3.685714286,2.857142857,1.333333333,1.114285714,2.571428571,4.527192064,4.29229147
BG_R,Bopdev ghat,Old-growth savanna,998,23.4,61.3047619,12.0,11.9047619,61.2952381,0.00952381,3.694458853,0.469577196
BH_A,Bharam,Tillage agriculture,545,25.56667,4.361904762,3.380952381,1.904761905,1.319047619,3.042857143,-3.208981807,0.707518792
BL_A,Bondale,Tillage agriculture,607,26.3,7.21904762,3.0,2.523809524,6.933333333,0.285714286,-3.220233753,0.633526172
BR_X,Bhor,Fallow,1070,24.2375,9.133333332,4.952380952,3.047619048,6.09047619,3.042857143,3.408720016,-0.244246853
CH_X,Chimangaon,Fallow,494,24.45833,21.51904762,7.571428573,5.0,9.357142857,12.16190476,-0.253923302,1.004407479
CK_A,Chas,Tillage agriculture,839,24.60417,4.728571428,6.666666667,4.571428571,2.852380952,1.876190476,1.593024649,-1.584515973
DD_R,Dandoba hills,Old-growth savanna,883,24.7,52.26666666,12.0,11.66666667,52.22857143,0.038095238,0.394510369,-0.625103852
DG_A,Dahiwadi,Tillage agriculture,502,25.13333,6.785714286,3.095238095,2.0,5.452380952,1.333333333,-1.9114539,0.457133713
DR_P,Deolali Plantation,Tree plantation,1720,24.46667,61.30952381,11.23809524,9.666666667,56.41904762,4.89047619,3.647045183,1.659309338
DU_X,Daund,Fallow,502,25.625,36.70952381,4.0,1.857142857,13.86190476,22.84761905,-2.299715264,0.097549921
GG_X,Ghodegaon,Fallow,859,24.06667,13.39523809,8.904761904,5.333333333,7.028571429,6.366666667,2.135467496,-2.442609043
GI_X,"Girim, Daund",Fallow,492,25.5,74.30952381,7.666666667,4.80952381,11.31428571,62.9952381,-2.286556583,-0.04833723
GW_P,Gawal wada plantation,Tree plantation,495,25.34583,33.4,8.095238095,6.428571429,17.57619048,15.82380952,-2.715992534,-0.603234922
HR_A,Hisre,Tillage agriculture,656,26.49167,8.966666667,5.619047619,3.333333333,6.7,2.266666667,-4.28699142,0.18123737
HZ_A,Hivare Zare,Tillage agriculture,507,25.42083,17.34761905,6.0,3.285714286,7.271428571,10.07619048,-2.950024068,-0.397866997
JT_A,Jategaon,Tillage agriculture,1792,24.20833,12.98571429,6.714285715,3.19047619,1.157142857,11.82857143,4.181001345,2.706954669
KA_R,Kalas,Old-growth savanna,521,25.7875,40.50476191,10.23809524,10.19047619,40.5,0.004761905,-2.993578126,-1.899481041
KB_R,Khambatki,Old-growth savanna,786,23.50833,46.0,12.85714286,12.23809524,45.86666667,0.133333333,2.741906411,-0.757202343
KK_R,Karjune Khare,Old-growth savanna,480,25.45833,45.14761905,12.04761905,11.9047619,45.13333333,0.014285714,-3.165230706,-0.829155091
KL_P,Kagal,Tree plantation,934,24.94167,47.8047619,6.095238095,2.904761905,10.02857143,37.77619048,1.26331619,2.419639576
KO_P,Korti,Tree plantation,591,26.17083,32.20952381,13.38095238,12.61904762,32.02857143,0.180952381,-3.630176673,-0.623012256
KT_R,Katraj old growth,Old-growth savanna,1182,23.125,36.93809524,11.23809524,10.61904762,36.53809524,0.4,4.75418516,-0.39772145
KW_P,Katewadi,Tree plantation,491,25.925,53.90476191,12.23809524,10.66666667,47.66190476,6.242857143,-3.323736261,-1.602198751
MG_R,Mograle,Old-growth savanna,505,24.6125,21.96666667,6.714285714,6.666666667,21.96190476,0.004761905,-0.832913006,-0.563895651
MM_P,Mhasoba hill,Tree plantation,543,24.99167,33.1952381,8.047619046,6.333333333,19.07619048,14.11904762,-1.13144768,-1.65729188
MP_A,Sherewadi,Tillage agriculture,981,24.22083,10.5952381,4.80952381,2.333333333,8.242857143,2.352380952,3.066738978,1.027890635
